,exrept,results
9662,{ ZT at room temperature }: synthesize nanosized cubic ceria (CeO 2 ) 211 synthesis of NaBH 4 based on a solid-state reaction under Ar atmosphere 352 synthesis of YAG powder by the modified sol–gel combustion method 449 kinetics of Se 75 S 25H11002x Cd x glassy system using differential scanning calorime- ter 649 studies on electrophoretic deposition of nanocrystalline SDC electrolyte films 795 plastic deformation in a partially crystallized Zr-based BMG under Vickers indenter 886 Thermal annealing effects of thermal annealing on electrical characteristics of Cd/CdS/n-Si/ Au–Sb sandwich structure 570 Thermal desorption spectrometry hydrogen storage properties of nanocrystalline MgH 2 and MgH 2 /Sn nanocomposite synthesized by ball milling 939 Thermal expansion net-shape forming and properties of high volume fraction SiCp/Al composites 256 preparation of a stabilized H9252-cristobalite ceramic from diatomite 920 Thermal properties thermal and mechanical properties of Sn–Zn–Bi lead-free solder alloys 134 synthesis of multinary rare-earth sulfides PrGdS 3 ),
9663,{ ZT at room temperature }: different heat treatments 196 Ti–Al effect of process parameters on the formation of Ti–Al coatings fabricated by mechanical milling 665 microstructural characterization and micromechanical properties of dual- phase carbide in arc-melted titanium aluminide base alloy with carbon addition 816 Ti 3 AlC microstructural characterization and micromechanical properties of dual-phase carbide in arc-melted titanium aluminide base alloy with carbon addition 816 Time-resolved X-ray diffraction in situ observation of phase transformation in Fe–0.15C binary alloy 929 Ti 3 SiC 2 reaction synthesis of Ti 3 SiC 2 phase in plasma sprayed coating 113 Titanium oxide low-temperature preparation of Boron-doped titania by hydrothermal method and its photocatalytic activity 73 Transition metal alloys and compounds hexagonal LMn 6 Sn 4 Ge 2 investigated by neutron diffraction and 119 Sn Mössbauer spectroscopy (L = Tb),
9665,{ ZT at room temperature }:  characterization and photocatalytic activity of La-doped ZnO nanowires 410 synthesis of the hydride mixtures (1 H11002 x)AlH 3 /xMgH 2 (0 H11349 x H11349 0.3) by ball milling and their hydrogen storage properties 426 synthesis of YAG powder by the modified sol–gel combustion method 449 an improved carbonate co-precipitation method for the preparation of spherical Li[Ni 1/3 Co 1/3 Mn 1/3 ]O 2 cathode material 519 992 Subject Index of Volume 484 effects of chromium addition on structure and mechanical properties of Ti–10Zr alloy 524 influence of SiC nanoparticles and saccharin on the structure and properties of electrodeposited Ni–Fe/SiC nanocomposite coatings 540 structure and electromagnetic characteristics of flaky FeSiAl powders made by melt-quenching 545 the electrochemical properties of LiNi 0.5 Mn 1.2 Ti 0.3 O 4 compound 567 influence of silica sources on morphology of mullite whiskers in Na 2 SO 4 flux 580 electrochemical properties of LiNi 1H11002y Fe y O 2 synthesized by the combustion method in O 2 591 kinetics of Se 75 S 25H11002x Cd x glassy system using differential scanning calorimeter 649 the properties of direct current sputtering deposited InN thin films under different gas flow rates 677 self-ignition combustion synthesis of TiFe 1H11002x Ni x in hydrogen atmosphere 682 new insights in the structure–luminescence relationship of Eu:SrAl 2 O 4 693 effect of strontium concentration on structural),
9705,It is worthy to point out that the ZT values of the Bi2S3 bulks from nanonetworks without any surface treatment are only 0.18–0.32 at 400 °C.),
9706,"A ZT of 0.44 at 450 °C is obtained from the sample hot pressed at 500 °C from the nanonetworks after heat treatment (250 °C, 5 h) in flowing H2/Ar, which is slightly lower)",
9737,{ Figure of merit }: Journal of Alloys and Compounds 491 (2010) 765–777 2519A aluminum alloy influences of Ce addition on the microstructures and mechanical properties of 2519A aluminum alloy plate 366 Activation energy the effects of ball milling and molar ratio of LiH on the hydrogen storage properties of nanocrystalline lithium amide and lithium hydride (LiNH 2 H11001 LiH) system 658 Active bed effects of copper based alloys on the nucleation and growth of calcium carbonate scale 242 Active screen plasma nitriding study of nanocrystallization in FINEMET alloy by active screen plasma nitriding 487 Adhesion cyclic oxidation behavior of TiC/Ti 3 AlC 2 composites at 550–950 °C in air 386 Adipic acid preparation and electrochemical characterization of LiFePO 4 nanoparticles with high rate capability by a sol–gel method 668 AFM synthesis and electrochemical properties of Ti doped LiCoO 2 thin film cathodes 503 Aging effect of La addition on the interfacial intermetallics and bonding strengths of Sn–58Bi solder joints with Au/Ni/Cu pads 610 Al alloys effect of cadmium on the microstructure of Al–7Si alloy L8 Al melt quality the behaviour of double oxide film defects in liquid Al alloys under atmospheric and reduced pressures 575 Al–1B–0.6C master alloy grain refining efficiency of a new Al–1B–0.6C master alloy on AZ63 magnesium alloy 165 Al 3 BC grain refining efficiency of a new Al–1B–0.6C master alloy on AZ63 magnesium alloy 165 Al 4 C 3 role of manganese on the grain refining efficiency of AZ91D magnesium alloy refined by Al 4 C 3 325 Al–Co–Fe on the constitution of the Al–Co–Fe alloy system L5 Al–Cu–Mg the study of the microstructure and interfacial reaction of Al–Cu–Mg/bagasse ash particulate composite 571 Alga Dunaliella electrochemical behavior of 304L stainless steel in high saline and sulphate solutions containing alga Dunaliella Salina and H9252-carotene 636 Alloys pin-on-disc characterization of 2xxx and 6xxx aluminium alloys aged by precipitation age hardening 278 effect of molybdenum addition on metastability of cubic H9253-uranium 753 Al 2 O 3 layer cyclic oxidation behavior of TiC/Ti 3 AlC 2 composites at 550–950 °C in air 386 Al–Ti–C–B master alloy influence of trace boron on the morphology of titanium carbide in an Al–Ti– C–B master alloy 113 Alumina toughening alumina with layered Ti 3 SiC 2 inclusions 477 Alumina film structure and photoluminescence properties of strong blue-emitting alumina film developed from a liquid sol at low temperature L29 Aluminium alloys protection against corrosion in marine environments of AA6060 aluminium alloy by cerium chlorides 223 the behaviour of double oxide film defects in liquid Al alloys under atmospheric and reduced pressures 575 Aluminum deformation and recrystallization textures in straight-rolled and pseudo cross-rolled AA 3105 aluminum alloy 301 Amorphous materials homogeneous Ag 2 O–2P 2 O 5 –CaO–GeO 2 glass formation),
9741,"{ Figure of merit }: surfactant ratio (R) on the particle size of MgAl 2 O 4 nanoparticle prepared via reverse micelle process L25 structural and magnetic properties of DyCo 5H11002x Ga x compounds 18 crystal-structure and magnetic properties of the new ternary compound Pr 117 Co 57 Sn 112 49 structural modification and optical reflectivity of new gold–indide intermetallic compounds 81 H9251- and H9252-Na 2 [BH 4 ][NH 2 ]: Two modifications of a complex hydride in the system NaNH 2 –NaBH 4 ; syntheses, crystal structures, thermal analyses, mass and vibrational spectra 98 study of charge density and crystal structure of (La 0.75 Sr 0.25 )MnO 3.00 and (Ba 0.5 Sr 0.5 )(Co 0.8 Fe 0.2 )O 2.33H11002H9254 at 500–900 K by in situ synchrotron X-ray diffraction 527 Crystalline phases glass transition and crystallization kinetics of In x (Se 0.75 Te 0.25 ) 100H11002x chalcogenide glasses 85 Crystallization kinetics glass transition and crystallization kinetics of In x (Se 0.75 Te 0.25 ) 100H11002x chalcogenide glasses 85 CuAlMn alloys effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy 627 CuInSe 2 microanalysis on CuInSe 2 compound synthesized by mechanochemical processing 456 Cyclic oxidation cyclic oxidation behavior of TiC/Ti 3 AlC 2 composites at 550–950 °C in air 386 Damping effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy 627 Decay properties photoluminescence properties of Er 3H11001 -doped alkaline earth titanium phosphate glasses 349 Dehydrogenation unexpected dehydrogenation behavior of LiBH 4 /Mg(BH 4 ) 2 mixture associated with the in situ formation of dual-cation borohydride L1 Dielectric function first-principles study on effective doping)",
9746,{ Figure of merit at 550–950 °C }:  mass and vibrational spectra 98 Fuel cells electrical conductivity studies on the LSGM–CGO composite electrolytes 416 Gas–solid reaction characteristics of silver–glass composite powders as the silver electrode for Si solar cells 584 Ge–Ni system thermodynamic modeling of the germanium–nickel system 63 Glass formation ability thermodynamic analysis of the La–Mg–Ni bulk metallic glass system 123 Glass transition temperature glass transition and crystallization kinetics of In x (Se 0.75 Te 0.25 ) 100H11002x chalco- genide glasses 85 Glasses photoluminescence properties of Er 3H11001 -doped alkaline earth titanium phosphate glasses 349 Glassy alloy glass transition and crystallization kinetics of In x (Se 0.75 Te 0.25 ) 100H11002x chalco- genide glasses 85 Gold–indides structural modification and optical reflectivity of new gold–indide intermetallic compounds 81 Gold–tin system enthalpy of formation of intermetallic phases from the Au–Sn system 173 Grain boundaries electrical conductivity studies on the LSGM–CGO composite electrolytes 416 enhanced magnetic properties and bending strength of hot deformed Nd– Fe–B magnets with Cu additions 605 Grain refinement grain refining efficiency of a new Al–1B–0.6C master alloy on AZ63 magnesium alloy 165 role of manganese on the grain refining efficiency of AZ91D magnesium alloy refined by Al 4 C 3 325 Subject Index of Volume 491 769 Grain size effect of Ag on the sintering and dielectric properties behavior of Bi 1.5 ZnNb 1.5 O 7 ceramics 218 Graphite the influence of the composition of atmosphere on the mechanisms of degradation of graphite in planetary ball millers L15 Grazing incidence X-ray diffraction studies on strain relaxation and in-plane orientation of La 0.7 Ca 0.3 MnO 3 film by grazing incidence X-ray diffraction 545 Heat of formation enthalpy of formation of intermetallic phases from the Au–Sn system 173 Heating rate glass transition and crystallization kinetics of In x (Se 0.75 Te 0.25 ) 100H11002x chalco- genide glasses 85 Hexagonal platelet influence of trace boron on the morphology of titanium carbide in an Al–Ti– C–B master alloy 113 High energy ball milling obtaining and stability verification of superconducting phases of the Nb–Al and Nb–Sn systems by mechanical alloying and low-temperature heat treatments 187 High permittivity dielectric properties of high permittivity ceramics based on Dy 2/3 CuTa 4 O 12 465 High rate capability preparation and electrochemical characterization of LiFePO 4 nanoparticles with high rate capability by a sol–gel method 668 High silicon steel effect of annealing temperature on magnetic properties of cold rolled high silicon steel thin sheet 268 High speed ball shear tests effect of La addition on the interfacial intermetallics and bonding strengths of Sn–58Bi solder joints with Au/Ni/Cu pads 610 High temperature material effect of silver addition in gamma titanium aluminide 209 High-T c superconductors effect of doping on the superconductive properties of GdBa 2 Cu 3 O 7H11002H9271 single- domain superconductors fabricated in air 291 Hollow sphere size-controlled synthesis and magnetic properties of NiFe 2 O 4 hollow nanospheres via a gel-assistant hydrothermal route L33 Hot deformation influence of hydrogen content on hot deformation behavior and microstructural evolution of Ti600 alloy 673 the influence of the powder densification temperature on the microstructure and magnetic properties of anisotropic NdFeB magnets aligned by hot deformation 694 Hot press improvement on the high temperature thermoelectric performance of Ga- doped misfit-layered Ca 3 Co 4H11002x Ga x O 9H11001H9254 (x = 0),
9747,{ Figure of merit at 550–950 °C }:  and 0.2) 53 HRXRD structural and optical study of B x In y Ga 1H11002xH11002y As/GaAs and In y Ga 1H11002y As/GaAs QW’s grown by MOCVD 45 Hydrogen the behaviour of double oxide film defects in liquid Al alloys under atmospheric and reduced pressures 575 influence of hydrogen content on hot deformation behavior and microstructural evolution of Ti600 alloy 673 Hydrogen absorbing materials hydrogen absorption properties of Mg 2 Ni alloy with excess Mg synthesized by wet milling in toluene without annealing 623 Hydrogen generation hydrogen bubbles dynamic template preparation of a porous Fe–Co–B/Ni foam catalyst for hydrogen generation from hydrolysis of alkaline sodium borohydride solution 359 Hydrogen storage unexpected dehydrogenation behavior of LiBH 4 /Mg(BH 4 ) 2 mixture associated with the in situ formation of dual-cation borohydride L1 electrochemical hydrogen storage capacities of Mg 2 Ni and MgNi alloys synthesized by mechanical alloying 565 Hydrogen storage materials crystal structure and charge density analysis of Ca(BH 4 ) 2 57 H9251- and H9252-Na 2 [BH 4 ][NH 2 ]: Two modifications of a complex hydride in the system NaNH 2 –NaBH 4 ; syntheses),
9756,{ Figure of merit at 550–950 °C }:  mass and vibrational spectra 98 Matrix effect of molybdenum addition on metastability of cubic H9253-uranium 753 Subject Index of Volume 491 771 Maximum m SPD superplasticity deformation of Ti–6Al–2Zr–1Mo–1V induced by the cyclic change of strain-rate and MaxmSPD 213 McCumber theory photoluminescence properties of Er 3H11001 -doped alkaline earth titanium phosphate glasses 349 Mechanical alloying obtaining and stability verification of superconducting phases of the Nb–Al and Nb–Sn systems by mechanical alloying and low-temperature heat treatments 187 electrochemical hydrogen storage capacities of Mg 2 Ni and MgNi alloys synthesized by mechanical alloying 565 hydrogen absorption properties of Mg 2 Ni alloy with excess Mg synthesized by wet milling in toluene without annealing 623 synthesis),
9759,{ Figure of merit at 550–950 °C }: kite LaNiO 3 560 MgNi electrochemical hydrogen storage capacities of Mg 2 Ni and MgNi alloys synthesized by mechanical alloying 565 Mg 2 Ni-type alloy electrochemical hydrogen storage characteristics of nanocrystalline Mg 20 Ni 10H11002x Cu x (x = 0–4) alloys prepared by melt-spinning 589 Mg(Zr 0.05 Ti 0.95 )O 3 ceramics effect of sintering aid on microwave dielectric properties of Mg(Zr 0.05 Ti 0.95 )O 3 ceramics 314 Microhardness investigation of the effect of solidification processing parameters on microhardness and determination of thermo–physical properties in the Zn–Cu peritectic alloy 143 Microstructural characterization obtaining and stability verification of superconducting phases of the Nb–Al and Nb–Sn systems by mechanical alloying and low-temperature heat treatments 187 Microstructure effect of cadmium on the microstructure of Al–7Si alloy L8 optimisation of the processing of Nd–Fe–B with dysprosium addition L20 effect of water),
9763,{ Figure of merit at 550–950 °C }:  nano-zinc oxide 420 preparation and magnetic property analysis of monodisperse Co–Zn ferrite nanospheres 431 mechanochemical synthesis of nanostructured titanium carbide from industrial Fe–Ti 581 solvothermal synthesis of lutetium aluminum garnet nanopowders: Determination of the optimum synthesis conditions 599 magnetic field-assisted solvothermal assembly of one-dimensional nanostructures of Ni–Co alloy nanoparticles 689 synthesis of cobalt sulfide nanostructures by a facile solvothermal growth process 707 Nanostructures effect of Cu 2H11001 ion incorporation on the phase development of ZrO 2 -type solid solutions during the thermal treatments 536 nanostructured bismuth ferrites synthesized by solvothermal process 703 Nb–Al obtaining and stability verification of superconducting phases of the Nb–Al and Nb–Sn systems by mechanical alloying and low-temperature heat treatments 187 Nb–Sn obtaining and stability verification of superconducting phases of the Nb–Al and Nb–Sn systems by mechanical alloying and low-temperature heat treatments 187 Nd:YAG nanopowders synthesis of Nd:YAG nanopowder using the citrate method with microwave irradiation 737 NdFeB magnets the influence of the powder densification temperature on the microstructure and magnetic properties of anisotropic NdFeB magnets aligned by hot deformation 694 Neutron diffraction magnetic structure of the quasi-two-dimensional compound CoTa 2 O 6 41 Ni 2 (Cr),
9766,{ Figure of merit at 550–950 °C }:  structure evolution and cyclic oxidation behavior of La 2 (Zr 0.7 Ce 0.3 ) 2 O 7 EB-PVD TBCs 729 Phase transitions non-equilibrium transformation path for bulk undercooled hypereutectic Fe–B alloy 118 effect of Cu 2H11001 ion incorporation on the phase development of ZrO 2 -type solid solutions during the thermal treatments 536 Photocatalyst characterization and photocatalytic properties of Au/BiVO 4 composites 631 Photocatalytic synthesis and characterizations of spinel MnFe 2 O 4 nanorod by seed– hydrothermal route 258 Photoluminescence structural and optical study of B x In y Ga 1H11002xH11002y As/GaAs and In y Ga 1H11002y As/GaAs QW’s grown by MOCVD 45 crystallized Zn 3 (VO 4 ) 2 : Synthesis),
9767,{ Figure of merit at 550–950 °C }:  structure and sinterability of 6061 AA 100H11002x –x wt.% TiO 2 composites prepared by high-energy ball milling 712 Powder X-ray diffraction on the constitution of the Al–Co–Fe alloy system L5 774 Subject Index of Volume 491 Precipitation deduction of activation energy for diffusion by analyzing soft impingement in isothermal solid-state precipitation L11 fabrication and mechanical reinforcement of piezoelectric nanocomposites with ZrO 2 nanoparticles embedded in situ 452 effect of Cu 2H11001 ion incorporation on the phase development of ZrO 2 -type solid solutions during the thermal treatments 536 Pt–Ru catalyst influence of complexing agents on the preparation of bimetallic platinum– ruthenium catalysts supported on O-functionalized graphite cloths 722 PZT effects of CuO addition on the electrical responses of the low-temperature sintered Pb(Zr 0.52 Ti 0.48 )O 3 –Pb(Mg 1/3 Nb 2/3 )O 3 –Pb(Zn 1/3 Nb 2/3 )O 3 ceramics 698 Quantum well temperature dependence of photoluminescence from as-grown and plasma- etched InAs 0.45 P 0.55 /In 0.68 Ga 0.32 As 0.45 P 0.55 strained single quantum well 595 Quenched ribbons the influence of the powder densification temperature on the microstructure and magnetic properties of anisotropic NdFeB magnets aligned by hot deformation 694 Quenching enhanced magnetic properties and bending strength of hot deformed Nd– Fe–B magnets with Cu additions 605 Raman spectroscopy optical and electrical characterization of samaria-doped ceria 460 Raman spectrum crystallized Zn 3 (VO 4 ) 2 : Synthesis),
9768,{ Figure of merit at 550–950 °C }:  0.10) nanoparticles synthesized by hydrothermal method 679 synthesis and thermoelectric properties of single crystalline and polycrystalline Ba 8 Ga 16 Ge 30 684 Shape memory effect effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy 627 SiC interphase dielectric properties of the SiC fiber-reinforced SiC matrix composites with the CVD SiC interphases 248 Silicate a promising blue–green emitting phosphor for white light-emitting diodes prepared by sol–gel method 264 Single crystals magnetostriction of a U 2 Fe 13 Si 4 single crystal 4 Single-crystal (SC) superalloy oxidation behavior of a single-crystal Ni-base superalloy between 900 and 1000 °C in air 522 Sintering optimisation of the processing of Nd–Fe–B with dysprosium addition L20 effect of CuO and MnO 2 doping on electrical properties of 0.92(K 0.48 Na 0.54 )NbO 3 –0.08LiNbO 3 under low-temperature sintering 340 fabrication and evaluation of powder injection molded Fe–Ni sintered bodies using nano Fe–50%Ni powder 391 electrical conductivity studies on the LSGM–CGO composite electrolytes 416 microstructural and electrical properties of CaTiO 3 –CaCu 3 Ti 4 O 12 ceramics 423 dielectric properties of high permittivity ceramics based on Dy 2/3 CuTa 4 O 12 465 effects of CuO addition on the electrical responses of the low-temperature sintered Pb(Zr 0.52 Ti 0.48 )O 3 –Pb(Mg 1/3 Nb 2/3 )O 3 –Pb(Zn 1/3 Nb 2/3 )O 3 ceramics 698 Si x Co 0.3 Cu 0.3 Cr 0.6 Al 0.2 /modified graphite sphere preparation of Si x Co 0.3 Cu 0.3 Cr 0.6 Al 0.2 /modified graphite sphere composites and their electrochemical performance as anode materials for Li-ion bat- teries 643 Sn–Bi alloys fluid flow and microstructure formation in a rotating magnetic field during the directional solidification process 395 Subject Index of Volume 491 775 Sn–58Bi–0.5La solder effect of La addition on the interfacial intermetallics and bonding strengths of Sn–58Bi solder joints with Au/Ni/Cu pads 610 Sn–Cu effect of phosphorus element on the comprehensive properties of Sn–Cu lead-free solder 382 Sodium borohydride hydrogen bubbles dynamic template preparation of a porous Fe–Co–B/Ni foam catalyst for hydrogen generation from hydrolysis of alkaline sodium borohydride solution 359 Sodium citrate influence of complexing agents on the preparation of bimetallic platinum– ruthenium catalysts supported on O-functionalized graphite cloths 722 SOFC effect of co-doping with Sm 3H11001 ),
9770,{ Figure of merit }:  characterization and photocatalytic property of flame sprayed zinc oxide nanoparticles 296 Standard free energy of formation determination of the thermodynamic stability of TiB 2 747 Strain relaxation studies on strain relaxation and in-plane orientation of La 0.7 Ca 0.3 MnO 3 film by grazing incidence X-ray diffraction 545 Strengthening toughening alumina with layered Ti 3 SiC 2 inclusions 477 Strontium iridium oxide thermoelectric properties of Sr–Ir–O compounds prepared by spark plasma sintering 441 Structural properties synthesis of nanocrystalline intermetallic compounds in Ni–Ti–Al system by mechanothermal method 344 nanostructured bismuth ferrites synthesized by solvothermal process 703 Substituting Ni with Cu electrochemical hydrogen storage characteristics of nanocrystalline Mg 20 Ni 10H11002x Cu x (x = 0–4) alloys prepared by melt-spinning 589 Superconductivity obtaining and stability verification of superconducting phases of the Nb–Al and Nb–Sn systems by mechanical alloying and low-temperature heat treatments 187 Superplasticity deformation (SPD) superplasticity deformation of Ti–6Al–2Zr–1Mo–1V induced by the cyclic change of strain-rate and MaxmSPD 213 Surface area the influence of the composition of atmosphere on the mechanisms of degradation of graphite in planetary ball millers L15 Surface morphology oxidation behavior of a single-crystal Ni-base superalloy between 900 and 1000 °C in air 522 Synchrotron radiation crystal structure and charge density analysis of Ca(BH 4 ) 2 57 study of charge density and crystal structure of (La 0.75 Sr 0.25 )MnO 3.00 and (Ba 0.5 Sr 0.5 )(Co 0.8 Fe 0.2 )O 2.33H11002H9254 at 500–900 K by in situ synchrotron X-ray diffraction 527 Synthesis mechanochemical synthesis of nanostructured titanium carbide from industrial Fe–Ti 581 Ta doping structural and magnetic properties of Finemet TM doped with Ta 495 Tantalum aluminides formation of Ta–Al intermetallics by combustion synthesis involving Al-based thermite reactions 153 Tellurides phase equilibria study in systems Tl-Pb(Nd)-Bi-Te new phases of variable composition on the base of Tl 9 BiTe 6 230 TEM contactless electroreflectance and photoluminescence characterization of Zn 0.68 Be 0.06 Mg 0.26 Se crystalline alloys 472 TEP synthesis and characterization of new quaternary MoBiInSe 5 mixed metal chalcogenide thin films 321 Texture deformation and recrystallization textures in straight-rolled and pseudo cross-rolled AA 3105 aluminum alloy 301 Thermal analysis non-equilibrium transformation path for bulk undercooled hypereutectic Fe–B alloy 118 influence of temperature on oxidation behaviour of ZE41 magnesium alloy 131 thermodynamic analysis of the sublimation process in cadmium selenide 170 formation and mechanical properties of minor-Sb alloyed Ni 8 Nb 5 bulk metallic glasses 513 effect of Cu 2H11001 ion incorporation on the phase development of ZrO 2 -type solid solutions during the thermal treatments 536 Thermal barrier coatings composition),
9772,{ Figure of merit }:  and 0.2) 53 Thermogravimetric analysis the effects of ball milling and molar ratio of LiH on the hydrogen storage properties of nanocrystalline lithium amide and lithium hydride (LiNH 2 H11001 LiH) system 658 Thin films effect of annealing on chemically deposited polycrystalline CdTe thin films 77 nanocrystalline ZnO thin films by spin coating-pyrolysis method 308 synthesis and characterization of new quaternary MoBiInSe 5 mixed metal chalcogenide thin films 321 Ti doped LiCoO 2 synthesis and electrochemical properties of Ti doped LiCoO 2 thin film cathodes 503 Ti–Al–Ag effect of silver addition in gamma titanium aluminide 209 Ti 3 AlC 2 cyclic oxidation behavior of TiC/Ti 3 AlC 2 composites at 550–950 °C in air 386 Ti–6Al–2Zr–1Mo–1V superplasticity deformation of Ti–6Al–2Zr–1Mo–1V induced by the cyclic change of strain-rate and MaxmSPD 213 TiC mechanochemical synthesis of nanostructured titanium carbide from industrial Fe–Ti 581 TiC crystal influence of trace boron on the morphology of titanium carbide in an Al–Ti– C–B master alloy 113 Timetal 834 titanium alloy dynamic fracture toughness of a near alpha titanium alloy Timetal 834 237 Ti 3 SiC 2 toughening alumina with layered Ti 3 SiC 2 inclusions 477 Titanium alloy influence of hydrogen content on hot deformation behavior and microstructural evolution of Ti600 alloy 673 Titanium aluminide effect of silver addition in gamma titanium aluminide 209 Titanium boride determination of the thermodynamic stability of TiB 2 747 Toughening toughening alumina with layered Ti 3 SiC 2 inclusions 477 Transformation temperatures effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy 627 Transition metal alloys and compounds X-ray photoelectron study of NiAs-type MnTe 13 Transmission electron microscopy effect of water),
9773,{ Figure of merit at 550–950 °C }: Mo) alloys 159 preparation and magnetic property analysis of monodisperse Co–Zn ferrite nanospheres 431 solvothermal synthesis of lutetium aluminum garnet nanopowders: Determination of the optimum synthesis conditions 599 enhanced magnetic properties and bending strength of hot deformed Nd– Fe–B magnets with Cu additions 605 Trirutile magnetic structure of the quasi-two-dimensional compound CoTa 2 O 6 41 Two-dimensional magnetism magnetic structure of the quasi-two-dimensional compound CoTa 2 O 6 41 Ultrafine eutectic alloy microstructural modulation of Ti–Fe–V ultrafine eutectic alloys with enhanced mechanical properties 178 Uranium corrosion resistance of modified layer on uranium formed by plasma immersion ion implantation 252 Uranium intermetallics magnetostriction of a U 2 Fe 13 Si 4 single crystal 4 Vacuum the behaviour of double oxide film defects in liquid Al alloys under atmospheric and reduced pressures 575 Vapor deposition characterization of the evaporation behavior of a H9252-SiC target during electron beam-physical vapor deposition 436 Vapour deposition dielectric properties of the SiC fiber-reinforced SiC matrix composites with the CVD SiC interphases 248 Vaterite effects of copper based alloys on the nucleation and growth of calcium carbonate scale 242 Visible light characterization and photocatalytic properties of Au/BiVO 4 composites 631 Visible-light-driven photocatalysis sol–gel combustion synthesis and visible-light-driven photocatalytic property of pero),
9774,{ Figure of merit }:  nano-zinc oxide 420 preparation and magnetic property analysis of monodisperse Co–Zn ferrite nanospheres 431 characterization of the evaporation behavior of a H9252-SiC target during electron beam-physical vapor deposition 436 Subject Index of Volume 491 777 molten salt synthesis of mullite whiskers from various alumina precursors 447 characterization of nickel doped CCTO: CaCu 2.9 Ni 0.1 Ti 4 O 12 and CaCu 3 Ti 3.9 Ni 0.1 O 12 synthesized by semi-wet route 507 study of charge density and crystal structure of (La 0.75 Sr 0.25 )MnO 3.00 and (Ba 0.5 Sr 0.5 )(Co 0.8 Fe 0.2 )O 2.33H11002H9254 at 500–900 K by in situ synchrotron X-ray diffraction 527 effect of Cu 2H11001 ion incorporation on the phase development of ZrO 2 -type solid solutions during the thermal treatments 536 solvothermal synthesis of lutetium aluminum garnet nanopowders: Determination of the optimum synthesis conditions 599 the effects of ball milling and molar ratio of LiH on the hydrogen storage properties of nanocrystalline lithium amide and lithium hydride (LiNH 2 H11001 LiH) system 658 X-ray methods effects of CuO addition on the electrical responses of the low-temperature sintered Pb(Zr 0.52 Ti 0.48 )O 3 –Pb(Mg 1/3 Nb 2/3 )O 3 –Pb(Zn 1/3 Nb 2/3 )O 3 ceramics 698 X-ray photoelectron spectroscopy X-ray photoelectron study of NiAs-type MnTe 13 crystallized Zn 3 (VO 4 ) 2 : Synthesis),
9803, a maximum power factor of ~5.79 μWm-1K-12 and a figure of merit of ~0.01 were attained for CNF/NaCo2O4-based composite nanofiber webs fabricated at 45 wt% input composition of NaCo2O4 and at heat-treatment of 700 °C.),
9805,"Owing to the trade-off effects of the input composition and heat-treatment temperature on the Seebeck coefficient, electric conductivity and thermal conductivity of the composite nanofiber webs, TM45-700 sample, which was fabricated with 45 wt% input composition of NaCo2O4 precursor and heat-treatment of 700 °C, was characterized to have a maximum power factor of ~5.79 μWm-1K-12 and a figure of merit of ~0.01 at quite low temperature differences of 4–8 °C.)",
9966, Zhang et al. also performed the pressure induced thermoelectric studies of orthorhombic phase SnSe and concluded that the ZT values along b and c directions can reach to 2.5 and 1.7 at 6 GPa and 700 K .),"[{'Pressure': {'raw_value': '6', 'raw_units': 'GPa', 'value': [6.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'pressure', 'compound': {'Compound': {'names': ['SnSe']}}}}]"
10343,Xie et al. reported a ZT value of 1.56 at 300 K for nanocrystalline Bi0.52Sb1.48Te3 that was prepared by the melt spinning technique followed by spark plasma sintering SPS treatment .),
10344,There has been a report of an estimated ZT > 2 at 300 K in Bi–Sb–Te alloy under a hydrostatic pressure of 2 GPa .),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi–Sb–Te alloy']}}}}]"
10592, the maximum thermoelectric figure of merit zT of 0.87 at 773 K has been achieved for In0.98Cd0.02Te undergoing 7 days annealing treatment (In0.98Cd0.02Te-7days)),
10599, a zT value of 0.70 at 773 K for pristine InTe is realized through 7-days annealing treatment),
10616,{ highest ZT }:  although there has been a report of an estimated ZT 2 at 300 K in Bi0.5Sb1.5Te3 alloy under a hydrostatic pressure of 2 GPa.),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 alloy']}}}}]"
10754,The ZT obtained from polycrystalline SnSe sintered at 60 MPa pressure at 823 K was ~ 0.7.),"[{'Pressure': {'raw_value': '60', 'raw_units': 'MPa', 'value': [60.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['polycrystalline SnSe']}}}}]"
10874,Pipe et al. have reported zT of 0.4 at room temperature for PEDOT:PSS with different solvent treatments.),
